"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1287,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 1)",25,"Cluid Housing","","","","","","Q1-2017"
1288,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Houses (Phase 2)",15,"Cluid Housing","","","","","","Q3-2017"
1289,"CALF Turnkey","South Dublin","Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
1290,"CALF Turnkey","South Dublin","New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,"Cluid Housing","","","","","","Q3-2017"
1291,"CALF Turnkey","South Dublin","Palmerstown Avenue, Dublin 20 (Phase 1)",7,"Respond","","","","","Q2-2019",""
1292,"CALF Turnkey","South Dublin","Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1293,"CALF Turnkey","South Dublin","Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1294,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2017"
1295,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2018"
1296,"CALF Turnkey","South Dublin","Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
