No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
166,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 3)*",19,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,,,,,,,,,,,,,,
167,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 4)*",21,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,,,,,,,,,,,,,,
168,CALF Turnkey,Clare,"Sycamore Drive, Ennis, Co. Clare (Phase 1)*",3,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
169,CALF Turnkey,Clare,"Sycamore Drive, Ennis, Co. Clare (Phase 2)*",2,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
170,CALF Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 1)*",31,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
171,CALF Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 2)",16,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
172,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East (Phase 1),20,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
173,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East (Phase 2),31,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
174,SHIP DIALOG,Cork City,Arus Mhuire,30,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
175,SHIP DIALOG,Cork City,Barrack Street,32,*N/A,,,,,Q1-2019,,,,,,,,,,,,,,
176,SHIP DIALOG,Cork City,FaranFerris,5,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
177,SHIP DIALOG,Cork City,High Street,9,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
178,SHIP DIALOG,Cork City,Tramore Road,4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
179,SHIP DIALOG,Cork City,Whites Street,43,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
180,SHIP DIALOG,Cork City,Woods Street,16,*N/A,,,,,Q1-2019,,,,,,,,,,,,,,
181,SHIP DIALOG,Cork City,"Church Road, Blackrock",43,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
182,SHIP DIALOG,Cork City,"1-5, Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
183,SHIP DIALOG,Cork City,Corcorans Quay,3,*N/A,,,,,Q2-2018,,,,,,,,,,,,,,
184,SHIP DIALOG,Cork City,Blarney Street,25,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
185,SHIP DIALOG,Cork City,"Ballinure Road, Cork City",5,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
186,SHIP DIALOG,Cork City,"Moss Lane, Riverway, Cork",5,*N/A,,,,,Q1-2019,,,,,,,,,,,,,,
187,SHIP DIALOG,Cork City,"Gerald Griffin Street, Cork",13,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
188,SHIP DIALOG,Cork City,"Lower John Street, Cork",17,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
189,SHIP DIALOG,Cork City,"Skehard Road, Blackrock, Cork",16,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
190,SHIP DIALOG,Cork City,"Coach Street, Cork",13,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
191,SHIP DIALOG,Cork City,"Shanakiel Road, Cork",20,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
192,SHIP DIALOG,Cork City,"Spring Lane, Blackpool, Cork",8,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
193,SHIP DIALOG,Cork City,"Glen Ryan Road, Cork",9,*N/A,,,,"Stage 4 approved Q2-2019, the scheme is fully approved.",,,,,,,,,,,,,,,
194,SHIP DIALOG,Cork City,"Pouladuff Road, Cork ",11,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
195,SHIP DIALOG,Cork City,"Watercourse Road, Blackpool, Cork",37,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
196,SHIP DIALOG,Cork City,"Denroche's Cross, Glasheen Road, Cork",43,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
197,SHIP DIALOG,Cork City,"Wolsey Court, Blackpool, Cork",49,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
198,SHIP DIALOG,Cork City,"Sunview, South Douglas Road, Douglas, Cork",25,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
199,SHIP DIALOG,Cork City,"Former Bolands Mill, Old Mallow Road",57,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
200,SHIP CONSTRUCTION TURNKEY,Cork City,1-4 Marble Lane,4,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
201,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
202,SHIP CONSTRUCTION TURNKEY,Cork City,"37-39 Dublin Street, Blackpool, Cork",5,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
203,SHIP CONSTRUCTION TURNKEY,Cork City,"6-10, Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
204,SHIP CONSTRUCTION TURNKEY,Cork City,"2 Deanrock Cottages, Togher",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
205,SHIP CONSTRUCTION TURNKEY,Cork City,"258 & 259 Blarney Street, Cork",2,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
206,SHIP CONSTRUCTION TURNKEY,Cork City,"1 & 2 The Groves, Skehard Road, Cork",2,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
207,SHIP CONSTRUCTION TURNKEY,Cork City,"3B & 9B South Terrace Court, South Terrace, Cork",2,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
208,SHIP CONSTRUCTION TURNKEY,Cork City,"Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
209,SHIP CONSTRUCTION TURNKEY,Cork City,"Ard na Ri, Banduff Road, Cork",10,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
210,SHIP CONSTRUCTION TURNKEY,Cork City,"Gearney's Boreen, Commons Road, Cork",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
211,SHIP CONSTRUCTION TURNKEY,Cork City,"Ard na Ri, Banduff Road, Cork",10,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
212,SHIP CONSTRUCTION TURNKEY,Cork City,"Eagle Valley, Sarsfield Road",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
213,SHIP CONSTRUCTION TURNKEY,Cork City,"Knockfree Avenue, Glengarriff Road, Fairhill, Cork",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
214,SHIP CONSTRUCTION TURNKEY,Cork City,"3-10 Herbert Lawn, Belmont, Rochestown, Cork",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
215,SHIP CONSTRUCTION TURNKEY,Cork City,"Elton Wood & Herbert Lawn, Rochestown, Cork ",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
216,SHIP CONSTRUCTION TURNKEY,Cork City,"Aspen Drive, Maryborough Hill, Cork ",29,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
217,SHIP CONSTRUCTION TURNKEY,Cork City,"5 Fairfield Heights, Upper Fairhill, Cork ",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
218,SHIP CONSTRUCTION TURNKEY,Cork City,"Ringcroft Avenue, Ringmahon Road, Mahon",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
219,SHIP CONSTRUCTION TURNKEY,Cork City,"Cluain Ard, Waterloo Road, Blarney, Cork",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
220,SHIP CONSTRUCTION RAPID VOLUMETRIC,Cork City,"Clover Hill Court, Bessboro Road, Mahon, Cork",51,*N/A,"Stage 1 approved Q2-2019, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
221,SHIP CONSTRUCTION,Cork City,"Poulavone, Ballincollig",64,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
222,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,*N/A,,,,,,Q3-2016,,,,,,,,,,,,,
223,SHIP CONSTRUCTION,Cork City,Boyces Street,14,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
224,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
225,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
226,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
227,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",8,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
228,SHIP CONSTRUCTION,Cork City,Cappanoole,2,*N/A,,,,,,Q4-2016,,,,,,,,,,,,,
229,SHIP CONSTRUCTION,Cork City,"Madonna House, Ballincollig",6,*N/A,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
230,SHIP CONSTRUCTION,Cork City,Bramble Cottages,4,*N/A,,"Stage 2 approved Q3-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
231,SHIP CONSTRUCTION,Cork City,"Errigal Heights, The Glen, Cork City",28,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
232,SHIP CONSTRUCTION,Cork City,"Glenamoy Lawn, Mayfield, Cork",3,*N/A,,"Stage 2 approved Q3-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
233,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",7,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
234,SHIP CONSTRUCTION,Cork City,"Hollywood Estate Infill Housing, Blarney Road, Cork",7,*N/A,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
235,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",50,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
236,SHIP CONSTRUCTION,Cork City,"Westside, Model Farm Road, Cork",41,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
237,SHIP CONSTRUCTION,Cork City,"Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,*N/A,"Stage 1 approved Q3-2019, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
238,SHIP CONSTRUCTION,Cork City,"16A Kerry Road (former Slí Gartan), Mayfield, Cork ",1,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
239,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 1B,29,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
240,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 2A,47,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
241,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 1C,41,*N/A,,,"Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
242,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 2B,38,*N/A,,,"Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
243,REGENERATION,Cork City,CNWQR Knocknaheeney Phase 2C,24,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
244,REGENERATION,Cork City,"Foyle Avenue Infill Housing Development, Knocknaheeny, Cork",2,*N/A,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
245,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 3B,62,*N/A,"Stage 1 approved Q2-2019, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
246,REGENERATION,Cork City,CNWQR Knocknaheeny Phase 4A,43,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
247,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",37,Good Shepherd Services Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
248,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
249,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,,,,,Q3-2018,,,,,,,,,,,,,
250,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community : Cork Simon,,,,,,Q4-2020,,,,,,,,,,,,,
251,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond,,,,,,Q3-2018,,,,,,,,,,,,,
252,CAS CONSTRUCTION,Cork City,"Ard na Ri, Closes Green, Farranree, Cork",20,Farranree Sheltered Housing Association,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
253,CAS CONSTRUCTION,Cork City,"Apts 2 & 3 Cois Coille, Tivoli, Cork",2,Galtan Ltd,,,,,,Q4-2021,,,,,,,,,,,,,
254,CAS CONSTRUCTION,Cork City,"Eastville, Albert Road, Cork",1,Galtan Ltd,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
255,CAS CONSTRUCTION,Cork City,"Aras Lean, Murphy’s Farm, Bishopstown, Co. Cork",25,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
256,CALF Turnkey,Cork City,"12,14,15 Model Quarters, Tower, Blarney, Co Cork  (Phase 1)",3,Circle Voluntary Housing Association Ltd,,,,,Q2-2019,,,,,,,,,,,,,,
257,CALF Turnkey,Cork City,20 and 21 Kyle Street  (Phase 1),6,Focus Housing Association CLG,,,,,Q2-2021,,,,,,,,,,,,,,
258,CALF Turnkey,Cork City,"40-41 Grand Parade, Cork City (Phase 1)",7,Focus Housing Association CLG,,,,,Q2-2021,,,,,,,,,,,,,,
259,CALF Turnkey,Cork City,"5 units, Shandon Street, Cork (Phase 1)",5,Circle Voluntary Housing Association Ltd,,,,,,Q3-2019,,,,,,,,,,,,,
260,CALF Turnkey,Cork City,"Barters Wood, Tower, Cork (Phase 1)*",2,Tuath Housing Association,,,,,Q1-2020,,,,,,,,,,,,,,
261,CALF Turnkey,Cork City,"Barters Wood, Tower, Cork (Phase 2)*",2,Tuath Housing Association,,,,,Q1-2020,,,,,,,,,,,,,,
262,CALF Turnkey,Cork City,"Barters Wood, Tower, Cork (Phase 3)*",2,Tuath Housing Association,,,,,Q1-2020,,,,,,,,,,,,,,
263,CALF Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 1)*",37,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
264,CALF Turnkey,Cork City,"Bishops Avenue, Farrenferris, Fairhill, Cork (Phase 2)*",49,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
265,CALF Turnkey,Cork City,"Block 10 Jacobs Island, Mahon, Cork (Phase 1)",59,Respond,,,,Q1-2022,,,,,,,,,,,,,,,
266,CALF Turnkey,Cork City,"Boherboy Road, Silversprings Hill, Cork City  (Phase 1)*",15,Respond,,,,Q4-2021,,,,,,,,,,,,,,,
267,CALF Turnkey,Cork City,"Brocklesby Street, Blackpool, Cork City (Phase 1)*",42,Focus Housing Association CLG,,,,Q1-2022,,,,,,,,,,,,,,,
268,CALF Turnkey,Cork City,"Convent Gardens, Blackrock Villas, Blackrock, Co. Cork (Phase 1)",1,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
269,CALF Turnkey,Cork City,"Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 1)",4,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
270,CALF Turnkey,Cork City,"Crawford Gate, Bessboro, Blackrock, Co. Cork (Phase 2)",2,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
271,CALF Turnkey,Cork City,"Croppy Boy, Fairhill, Cork (Phase 1)",7,Tuath Housing Association,,,,,,Q3-2020,,,,,,,,,,,,,
272,CALF Turnkey,Cork City,"Croppy Boy, Fairhill, Cork (Phase 2)*",14,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
273,CALF Turnkey,Cork City,"Emerald View, Old Mallow Road, Cork City (Phase 1)",6,Focus Housing Association CLG,,,,,,Q4-2021,,,,,,,,,,,,,
274,CALF Turnkey,Cork City,"Evergreen Road, Turners Cross, Cork  (Phase 1)*",28,Respond,,,,,Q1-2021,,,,,,,,,,,,,,
275,CALF Turnkey,Cork City,"Fairfield Meadows, Upper Fair Hill, Cork (Phase 1)*",18,Focus Housing Association CLG,,,,Q3-2021,,,,,,,,,,,,,,,
276,CALF Turnkey,Cork City,"Glanmire Village, Glanmire, Cork (Phase 1)",3,Focus Housing Association CLG,,,,,Q2-2020,,,,,,,,,,,,,,
277,CALF Construction,Cork City,"Green Lane, Blackpool, Cork City (Phase 1)",112,Clúid Housing,,,,,Q4-2021,,,,,,,,,,,,,,
278,CALF Turnkey,Cork City,"Haig Gardens, Boreenamanna Road and Wallace Avenue, Ballintemple (Phase 1)*",27,Respond,,,,,Q2-2021,,,,,,,,,,,,,,
279,CALF Turnkey,Cork City,"Hereford Place, Ballymacthomas Street, Cork City (Phase 1)*",19,Respond,,,,,Q1-2020,,,,,,,,,,,,,,
280,CALF Turnkey,Cork City,"Inniscarra Road, Coolroe, Ballincollig, Cork (Phase 1)",21,Tuath Housing Association,,,,Q4-2021,,,,,,,,,,,,,,,
281,CALF Turnkey,Cork City,"Lancaster Gate, Western Road, Cork (Phase 1)",15,Clúid Housing,,,,,Q3-2021,,,,,,,,,,,,,,
282,CALF Turnkey,Cork City,"Leeside Apartments, Bachelors Quay, Cork City (Phase 1)",72,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
283,CALF Turnkey,Cork City,"Leeside Apartments, Bachelors Quay, Cork City (Phase 2)",6,Clúid Housing,,,,,,Q3-2019,,,,,,,,,,,,,
284,CALF Turnkey,Cork City,"Link Road, Ballincollig, Cork (Phase 1)*",40,Respond,,,,,Q3-2021,,,,,,,,,,,,,,
285,CALF Construction,Cork City,"Lower Glanmire Road, Cork City (Phase 1)",8,Galtan Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
286,CALF Construction,Cork City,"Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,Galtan Ltd,,,,,,Q1-2018,,,,,,,,,,,,,
287,CALF Construction,Cork City,"Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,Galtan Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
288,CALF Turnkey,Cork City,"Maryborough Ridge & Blackrock  Villas
 (Phase 1)*",57,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
289,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 1)",14,Tuath Housing Association,,,,,Q3-2021,,,,,,,,,,,,,,
290,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 2)",14,Tuath Housing Association,,,,,Q3-2021,,,,,,,,,,,,,,
291,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 3)",14,Tuath Housing Association,,,,,Q3-2021,,,,,,,,,,,,,,
292,CALF Turnkey,Cork City,"Millerd Street, Cork (Phase 1)",25,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
293,CALF Turnkey,Cork City,"Millfield Cottages, Blackpool, Cork City (Phase 1)*",18,Respond,,,,Q1-2022,,,,,,,,,,,,,,,
294,CALF Turnkey,Cork City,"North Abbey Street, Cork City  (Phase 1)",6,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
295,CALF Turnkey,Cork City,"Phase 2, 42 Grand Parade, Cork City (Phase 1)",9,Focus Housing Association CLG,,,,,Q4-2021,,,,,,,,,,,,,,
296,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 1)",18,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
297,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 2)",31,Respond,,,,,,Q4-2021,,,,,,,,,,,,,
298,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 3)*",24,Respond,,,,,Q1-2020,,,,,,,,,,,,,,
299,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 4)",7,Respond,,,,,Q1-2020,,,,,,,,,,,,,,
300,CALF Turnkey,Cork City,"Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 1)",31,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
301,CALF Turnkey,Cork City,"Revised-The Meadows, Knocknacullen East, Gurranabraher, Cork  (Phase 2)",21,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
302,CALF Turnkey,Cork City,"Riverside Farm, Model Farm Road, Bishopstown, Cork (Phase 1)*",48,Respond,,,,Q4-2021,,,,,,,,,,,,,,,
303,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 1)*",22,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
304,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 2)*",19,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
305,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 3)",24,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
306,CALF Turnkey,Cork City,"Springville House, Bulls Lane, Blackrock Road, Cork (Phase 1)",35,Tuath Housing Association,,,,,Q4-2020,,,,,,,,,,,,,,
307,CALF Construction,Cork City,"St Dominics, Middle Glanmire Road, Montenotte, Cork (Phase 1)",27,Tuath Housing Association,,,,,Q1-2021,,,,,,,,,,,,,,
308,CALF Turnkey,Cork City,"The Meadows (Phase 2) Gurranabraher, Cork City  (Phase 1)",17,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
309,CALF Turnkey,Cork City,"The Oaks, Frankfield, Douglas, Cork City (Phase 1)*",2,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
310,CALF Turnkey,Cork City," Tower Street, Cork City (Phase 1)",2,Threshold Ltd,,,,Q2-2021,,,,,,,,,,,,,,,
311,CALF Turnkey,Cork City,"Woodside, Kerry Pike, Cork (Phase 1)*",22,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
312,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill",18,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
313,SHIP CONSTRUCTION TURNKEY,Cork County,"Inis Alainn & Castleoaks, Bandon",11,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
314,SHIP CONSTRUCTION TURNKEY,Cork County,"Gleann Tuairigh, Youghal",3,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
315,SHIP CONSTRUCTION TURNKEY,Cork County,"Millview Road, Kanturk",11,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
316,SHIP CONSTRUCTION TURNKEY,Cork County,"Clondulane, Fermoy",2,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
317,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
318,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas",12,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
319,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
320,SHIP CONSTRUCTION TURNKEY,Cork County,CulAird Carraigtwohill,29,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
321,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas",12,*N/A,,,,,,Q1-2017,,,,,,,,,,,,,
322,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas",16,*N/A,,,,,,Q1-2017,,,,,,,,,,,,,
323,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",5,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
324,SHIP CONSTRUCTION TURNKEY,Cork County,"St. Mary’s Road, Dunmanway",7,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
325,SHIP CONSTRUCTION TURNKEY,Cork County,"Glanworth, Fermoy",13,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
326,SHIP CONSTRUCTION TURNKEY,Cork County,"Quartertown, Mallow",5,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
327,SHIP CONSTRUCTION TURNKEY,Cork County,"Spa Glen,Ballyviniter, Mallow",8,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
328,SHIP CONSTRUCTION TURNKEY,Cork County,"Beacon Point, Baltimore",6,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
329,SHIP CONSTRUCTION TURNKEY,Cork County,"Corrin View, Fermoy",6,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
330,SHIP CONSTRUCTION TURNKEY,Cork County,"No. 43 & No. 50 Chapel Court, Skibbereen ",2,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
331,SHIP CONSTRUCTION TURNKEY,Cork County,"Cul Na Smear, Bandon",14,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
332,SHIP CONSTRUCTION TURNKEY,Cork County,"Glen Dara, Ard Cashel, Watergrasshill",6,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
333,SHIP CONSTRUCTION TURNKEY,Cork County,"Clarendon Brooks, Carrs Hill, Douglas",9,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
334,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",15,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
335,SHIP CONSTRUCTION TURNKEY,Cork County,Lismire,4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
336,SHIP CONSTRUCTION TURNKEY,Cork County,"Rylane, Mount Rivers",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
337,SHIP CONSTRUCTION TURNKEY,Cork County,"Clarendon Brooks, Carrs Hill, Douglas",17,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
338,SHIP CONSTRUCTION TURNKEY,Cork County,"Seafield, Bantry, ",3,*N/A,,,,,Q3-2018,,,,,,,,,,,,,,
339,SHIP CONSTRUCTION TURNKEY,Cork County,"Parklands, Youghal",13,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
