"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
390,"CALF Turnkey","DLR","Garrison Mews, The Ramparts, Cabinteely, Co. Dublin (Phase 1)*",5,"Focus Housing Association CLG","","","","Q4-2019","",""
391,"CALF Turnkey","DLR","Greenbank House, Upper Glenageary Road, Dun Laoghaire, Co. Dublin (Phase 1)",1,"St John of God Housing Association Ltd","","","","","","Q4-2018"
392,"CALF Turnkey","DLR","Hyde Road, Belmont, Stepaside, Co. Dublin (Phase 1)*",8,"Respond","","","","","","Q4-2018"
393,"CALF Turnkey","DLR","Johnstown Court, Cabinteely, Dun Laoghaire (Phase 1)",51,"Cluid Housing","","","","","Q2-2019",""
394,"CALF Turnkey","DLR","Knockrabo, Mount Anville Road, Goatstown, Dublin 14 (Phase 1)*",6,"Oaklee Housing","","","","","Q3-2016",""
395,"CALF Turnkey","DLR","Marine Walk, Marine Road, Dun Laoghaire (Phase 1)*",2,"Oaklee Housing","","","","Q1-2019","",""
396,"CALF Turnkey","DLR","Mount Eagle, Kilgobbin Road, Sandyford, Dublin 18 (Phase 1)*",18,"T�ath Housing Association Ltd","","","","","Q4-2019",""
397,"CALF Turnkey","DLR","Mount Eagle, Kilgobbin Road, Sandyford, Dublin 18 (Phase 2)*",14,"T�ath Housing Association Ltd","","","","","Q4-2019",""
398,"CALF Turnkey","DLR","Our Ladys Grove, Goatstown, Dublin 14 (Phase 1)*",2,"Respond","","","","","","Q4-2018"
399,"CALF Turnkey","DLR","Rockville Hall, Glenamuck Road, Dunlaoghaire, Dublin 18 (Phase 1)*",12,"Co-operative Housing Ireland","","","","Q4-2019","",""
400,"CALF Turnkey","DLR","Stillorgan Gate, Kilmacud Road Upper, Co Dublin  (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2017"
401,"CALF Turnkey","DLR","Stillorgan Gate, Kilmacud Road Upper, Stillorgan, Co. Dublin (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
402,"CALF Turnkey","DLR","The Avenue, Glenside,  Carrickmines Green, Dublin 18 (Phase 1)*",5,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
403,"CALF Turnkey","DLR","Whinsfield, Sandyford Road, Dublin 18 (Phase 1)",59,"Respond","","","","Q4-2019","",""
404,"CALF Turnkey","DLR","Woodbank, Dublin Rd, Shankill, Co Dublin  (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2017"
405,"CAS CONSTRUCTION","DLR","30 Obelisk Walk, Blackrock",4,"St. John of God Housing Association Ltd","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
