"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
1181,"CAS CONSTRUCTION","Waterford","Powersfield, Hennessys Road, Waterford",3,"Focus Ireland","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1182,"CAS CONSTRUCTION","Waterford","Wadding Manor, Ferrybank",10,"Respond","","","","","Q4-2018",""
1183,"CAS CONSTRUCTION","Waterford","Gleann Ealach, Dunhill",8,"Gleann Ealach Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1184,"CAS CONSTRUCTION","Waterford","Ballycarnane, Tramore",18,"Tramore Voluntary Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1185,"CAS CONSTRUCTION","Waterford","The Paddocks, Williamstown Rd. Waterford",4,"Anvers Housing Association Ltd","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1186,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Waterford","Slievekeale, Waterford City",57,"*N/A","","","Q1-2018","","",""
1187,"CALF Turnkey","Westmeath","Athlone Road, Moate, Co. Westmeath (Phase 1)",14,"Oaklee Housing","","","","Q3-2018","",""
1188,"CALF Construction","Westmeath","Farran, Mullingar, Co. Westmeath (Phase 1)",2,"T�ath Housing Association Ltd","","","","Q3-2018","",""
1189,"CALF Construction","Westmeath","Farran, Mullingar, Co. Westmeath (Phase 2)",2,"T�ath Housing Association Ltd","","","","Q3-2018","",""
1190,"CALF Construction","Westmeath","Farran, Mullingar, Co. Westmeath (Phase 3)",6,"T�ath Housing Association Ltd","","","","Q3-2018","",""
1191,"CALF Turnkey","Westmeath","Rahanine, Rochfortbridge, Co Westmeath (Phase 1)",12,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1192,"CALF Turnkey","Westmeath","Cluain Mullen, Castlepollard, Westmeath (Phase 1)",2,"T�ath Housing Association Ltd","","","","","","Q2-2017"
1193,"SHIP CONSTRUCTION TURNKEY","Westmeath","Belvedere Hills, Mullingar",21,"*N/A","","","","","","Q4-2017"
1194,"SHIP CONSTRUCTION TURNKEY","Westmeath","Cloon Lara, Mullingar",12,"*N/A","","","","","Q3-2018",""
1195,"SHIP CONSTRUCTION","Westmeath","Bun Daire, Kinnegad (Phase 3)",12,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1196,"SHIP CONSTRUCTION","Westmeath","St. Laurence's Terrace, Mullingar",9,"*N/A","","","","","","Q4-2018"
1197,"SHIP CONSTRUCTION","Westmeath","Ennell Court",1,"*N/A","","","","","","Q1-2018"
1198,"SHIP CONSTRUCTION","Westmeath","Clonbrusk, Arcadia, Athlone  Phase 1",33,"*N/A","","","","","Q2-2018",""
1199,"SHIP CONSTRUCTION","Westmeath","Ennell Court (Phase 2)",3,"*N/A","","","","","","Q2-2016"
1200,"SHIP CONSTRUCTION","Westmeath","Grange Crescent, Mullingar",2,"*N/A","","","","","","Q1-2016"
1201,"SHIP CONSTRUCTION","Westmeath","Ennell Court (Phase 3)",31,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
1202,"SHIP CONSTRUCTION","Westmeath","Cloghanboy, Athlone",10,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1203,"SHIP CONSTRUCTION","Westmeath","Bishopsgate, Mullingar",4,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1204,"SHIP CONSTRUCTION","Westmeath","St. Brigid's Green, Mullingar",14,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1205,"SHIP CONSTRUCTION","Westmeath","Clonbrusk, Arcadia, Athlone Phase 2",18,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1206,"CAS CONSTRUCTION","Westmeath","Farran, Mullingar",4,"T�ath Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1207,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 1)",30,"T�ath Housing Association Ltd","","","","Q4-2018","",""
1208,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 2)",16,"T�ath Housing Association Ltd","","","","Q4-2018","",""
1209,"CALF Turnkey","Wexford","Ramstown, Gorey, Co. Wexford (Phase 3)",10,"T�ath Housing Association Ltd","","","","Q4-2018","",""
1210,"CALF Turnkey","Wexford","Greenville, The Moyne, Enniscorthy (Phase 2)",6,"Oaklee Housing","","","","","Q3-2017",""
1211,"CALF Turnkey","Wexford","Meadowfields Phase 3, Enniscorthy, Co. Wexford (Phase 1)",14,"Co-operative Housing Ireland","","","","","Q1-2018",""
1212,"CALF Turnkey","Wexford","Meadowfields Phase 3, Enniscorthy, Co. Wexford (Phase 2)",14,"Co-operative Housing Ireland","","","","","Q1-2018",""
1213,"CALF Turnkey","Wexford","Fort Road, Ramsfort Park, Gorey, Co. Wexford (Phase 1)*",11,"Co-operative Housing Ireland","","","","","Q3-2018",""
1214,"CALF Turnkey","Wexford","Gleann an Ghairdin, Gorey (Phase 1)",18,"T�ath Housing Association Ltd","","","","","Q3-2018",""
1215,"CALF Turnkey","Wexford","Clonard, Wexford (Phase 1)*",10,"Co-operative Housing Ireland","","","","","Q4-2018",""
1216,"CALF Turnkey","Wexford","Huntershill, Gorey, Co. Wexford (Phase 1)",23,"Co-operative Housing Ireland","","","","","Q4-2017",""
1217,"CALF Turnkey","Wexford","Huntershill, Gorey, Co. Wexford (Phase 2)*",13,"Co-operative Housing Ireland","","","","","Q4-2017",""
1218,"CALF Turnkey","Wexford","Hunters Green, Gorey (Phase 1)",9,"Co-operative Housing Ireland","","","","","","Q2-2016"
1219,"CALF Turnkey","Wexford","Hunters Green, Gorey (Phase 2)",9,"Co-operative Housing Ireland","","","","","","Q3-2016"
1220,"CALF Turnkey","Wexford","Meadowfields Enniscorthy, Co. Wexford (Phase 1)",12,"Co-operative Housing Ireland","","","","","","Q3-2016"
1221,"CALF Turnkey","Wexford","1 property at  Ard Uisce, Whiterock, Wexford  (Phase 1)",1,"T�ath Housing Association Ltd","","","","","","Q1-2018"
1222,"CALF Turnkey","Wexford","Ard Uisce, Whiterock, Wexford (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q1-2018"
1223,"CALF Turnkey","Wexford","Ballyboggan, Castlebridge, Co Wexford (Phase 1)",10,"Co-operative Housing Ireland","","","","","","Q4-2018"
1224,"CALF Turnkey","Wexford","Greenville, The Moyne, Enniscorthy (Phase 1)",34,"Oaklee Housing","","","","","","Q4-2018"
1225,"CALF Turnkey","Wexford","Ard Uisce, Whiterock, Wexford (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q1-2017"
1226,"CALF Turnkey","Wexford","Hunters Green, Gorey (Phase 3)",11,"Co-operative Housing Ireland","","","","","","Q1-2017"
1227,"CALF Turnkey","Wexford"," Ard Uisce, Wexford Town (Phase 1)",5,"T�ath Housing Association Ltd","","","","","","Q4-2017"
1228,"CALF Turnkey","Wexford","Hunters Green, Gorey (Phase 4)",9,"Co-operative Housing Ireland","","","","","","Q4-2017"
1229,"SHIP CONSTRUCTION TURNKEY","Wexford","Madeira Oaks, Wexford",8,"*N/A","","","","","","Q3-2017"
1230,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 1a)",8,"*N/A","","","","","","Q1-2018"
1231,"SHIP CONSTRUCTION TURNKEY","Wexford","Ard Uisce, Whiterock, Wexford",11,"*N/A","","","","","","Q4-2018"
1232,"SHIP CONSTRUCTION TURNKEY","Wexford","Castlebridge, Co Wexford",3,"*N/A","","","","","","Q3-2018"
1233,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 2)",4,"*N/A","","","","","Q1-2018",""
1234,"SHIP CONSTRUCTION TURNKEY","Wexford","Ard Uisce, Whiterock,Wexford",24,"*N/A","","","","","Q1-2018",""
1235,"SHIP CONSTRUCTION TURNKEY","Wexford","Gleann an Ghairdin, Ballytegan Road, Gorey (Phase 1b)",10,"*N/A","","","","","","Q4-2018"
1236,"SHIP CONSTRUCTION TURNKEY","Wexford","Glen Aoibhinn, Ardamine, Gorey - Phase 1",5,"*N/A","","","","","","Q4-2018"
1237,"SHIP CONSTRUCTION TURNKEY","Wexford","Glen Aoibhinn, Ardamine, Gorey - Phase 2",5,"*N/A","","","","","Q4-2018",""
1238,"SHIP CONSTRUCTION","Wexford","SN Castlemoyle, New Ross",1,"*N/A","","","","","Q4-2018",""
1239,"SHIP CONSTRUCTION","Wexford","Cloghultagh, Taghmon",18,"*N/A","","","","","Q4-2018",""
1240,"SHIP CONSTRUCTION","Wexford","Coolcotts, Clonard",7,"*N/A","","","","","Q3-2018",""
1241,"SHIP CONSTRUCTION","Wexford","Creagh, Gorey",10,"*N/A","","","","","Q2-2018",""
1242,"SHIP CONSTRUCTION","Wexford","Danescastle",10,"*N/A","","","","","Q3-2018",""
1243,"SHIP CONSTRUCTION","Wexford","Slippery Green, Wexford",10,"*N/A","","","","","Q2-2018",""
1244,"SHIP CONSTRUCTION","Wexford","Whiterock Hill, Wexford",45,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1245,"SHIP CONSTRUCTION","Wexford","Cois Mara",2,"*N/A","","","","","","Q3-2018"
1246,"SHIP CONSTRUCTION","Wexford","Killeens, Wexford",34,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1247,"SHIP CONSTRUCTION","Wexford","Oylegate",2,"*N/A","","","","","","Q2-2018"
1248,"SHIP CONSTRUCTION","Wexford","Cherryorchard, Enniscorthy",8,"*N/A","","","","","","Q3-2018"
1249,"SHIP CONSTRUCTION","Wexford","Ross Road, Enniscorthy",1,"*N/A","","","","","Q3-2018",""
1250,"SHIP CONSTRUCTION","Wexford","Baile Eoghain, Gorey (Phase 1)",5,"*N/A","","","","","","Q4-2018"
1251,"SHIP CONSTRUCTION","Wexford","Baile an Tr�, Riverchapel (Courtown Ardamine)",10,"*N/A","","","","","","Q2-2016"
1252,"SHIP CONSTRUCTION","Wexford","Shanna Court, Coolcotts",8,"*N/A","","","","","","Q1-2016"
1253,"SHIP CONSTRUCTION","Wexford","Francis Street, Wexford",1,"*N/A","","","","","","Q1-2017"
1254,"SHIP CONSTRUCTION","Wexford","Commodore Barry",1,"*N/A","","","","","","Q2-2016"
1255,"SHIP CONSTRUCTION","Wexford","Glentire, The Ballagh, Enniscorthy",6,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1256,"SHIP CONSTRUCTION","Wexford","Ballywish, Castlebridge",11,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1257,"SHIP CONSTRUCTION","Wexford","Rosetown, Rosslare, Co Wexford",43,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1258,"SHIP CONSTRUCTION","Wexford","Carley's Bridge, Enniscorthy, Co Wexford",17,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1259,"SHIP CONSTRUCTION","Wexford","Creagh, Gorey, Co Wexford",12,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1260,"SHIP CONSTRUCTION","Wexford","Rosbercon, New Ross",28,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1261,"SHIP CONSTRUCTION","Wexford","Baile Eoghain, Gorey (Phase 2)",4,"*N/A","","","","","","Q4-2018"
1262,"CAS CONSTRUCTION","Wexford","Barrystown",16,"Grantstown Voluntary Housing Association Ltd","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1263,"CAS CONSTRUCTION","Wexford","Rathangan",7,"Rathangan Senior Citizens Housing Association Ltd","","","","","","Q3-2017"
1264,"CAS CONSTRUCTION","Wexford","Wexford Women's Refuge, Maudlintown, Co Wexford",12,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
1265,"CALF Construction","Wicklow"," St Ernans View, Merrymeeting, Rathnew, Co Wicklow  (Phase 1)",45,"Cluid Housing","","","","Q3-2018","",""
1266,"CALF Turnkey","Wicklow","Glenheron, Greystones, Co. Wicklow (Phase 2)*",11,"T�ath Housing Association Ltd","","","","","Q1-2018",""
1267,"CALF Turnkey","Wicklow","Ternlee, Cooldross Lane, Kilcoole, Co. Wicklow (Phase 1)*",4,"Cluid Housing","","","","","Q4-2017",""
1268,"CALF Turnkey","Wicklow","Ternlee, Cooldross Lane, Kilcoole, Co. Wicklow (Phase 2)*",2,"Cluid Housing","","","","","Q4-2017",""
1269,"CALF Turnkey","Wicklow","Glenheron, Greystones, Co Wicklow  (Phase 1)*",5,"T�ath Housing Association Ltd","","","","","","Q2-2018"
1270,"CALF Turnkey","Wicklow","Abbey St, Wicklow  (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1271,"CALF Turnkey","Wicklow","Glenheron, Greystones, Co. Wicklow (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1272,"CALF Turnkey","Wicklow","The Meadows, Ballynerrin, Wicklow Town (Phase 1)*",7,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1273,"CALF Turnkey","Wicklow","Hazelbrook Rise, Ballybeg, Rathnew, Co. Wicklow(Phase 1)*",15,"Co-operative Housing Ireland","","","","","","Q4-2018"
1274,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely (1)",2,"*N/A","","","","","","Q2-2018"
1275,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely (2)",1,"*N/A","","","","","","Q4-2018"
1276,"SHIP CONSTRUCTION TURNKEY","Wicklow","Vale Road, Arklow",34,"*N/A","","","","","Q3-2018",""
1277,"SHIP CONSTRUCTION TURNKEY","Wicklow","Fernhill, Arklow",1,"*N/A","","","","","","Q3-2018"
1278,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely, Phase 2",2,"*N/A","","","","","Q2-2018",""
1279,"SHIP CONSTRUCTION TURNKEY","Wicklow","Merrymeeting, Rathnew",2,"*N/A","","","","","Q4-2018",""
1280,"SHIP CONSTRUCTION TURNKEY","Wicklow","The Hawthorns, Ballinahinch Wood, Ashford",1,"*N/A","","","","","Q4-2018",""
1281,"SHIP CONSTRUCTION RAPID","Wicklow","Whitehall, Baltinglass",34,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1282,"SHIP CONSTRUCTION RAPID","Wicklow","Rathnew",46,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1283,"SHIP CONSTRUCTION RAPID","Wicklow","Carnew Phase 4",30,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1284,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 3)",21,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1285,"SHIP CONSTRUCTION","Wicklow","Ard Na Mara, Kilcoole",2,"*N/A","","","","","Q3-2018",""
1286,"SHIP CONSTRUCTION","Wicklow","Druids Brook, Kilcoole",2,"*N/A","","","","","Q4-2018",""
1287,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 1)",17,"*N/A","","","","","Q4-2017",""
1288,"SHIP CONSTRUCTION","Wicklow","Emoclew Road, Arklow (Phase 2)",26,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1289,"SHIP CONSTRUCTION","Wicklow","FCA Hall, Wicklow Town",8,"*N/A","","","","","Q3-2018",""
1290,"SHIP CONSTRUCTION","Wicklow","Kilmantain Place, Bray",4,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1291,"SHIP CONSTRUCTION","Wicklow","O'Byrne Road, Bray",1,"*N/A","","","","","","Q4-2018"
1292,"SHIP CONSTRUCTION","Wicklow","St Mary's Rd., Arklow (Old Library Site)",7,"*N/A","","","","","","Q4-2018"
1293,"SHIP CONSTRUCTION","Wicklow","Sugarloaf View, Kilmacanogue",20,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
1294,"SHIP CONSTRUCTION","Wicklow","Avondale Heights, Rathdrum (Phase 2)",20,"*N/A","","","","","","Q4-2018"
1295,"SHIP CONSTRUCTION","Wicklow","Kilbride Lane, Bray (Murphy's Lands)",42,"*N/A","","","","","Q2-2018",""
1296,"SHIP CONSTRUCTION","Wicklow","Oak Drive, Blessington",1,"*N/A","","","","","Q4-2018",""
1297,"SHIP CONSTRUCTION","Wicklow","Carrig Eden, Marine Road, Greystones",30,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
1298,"SHIP CONSTRUCTION","Wicklow","Farrankelly, Greystones (Phase 2)",24,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1299,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Wicklow","Convent Lands",51,"*N/A","","","Q1-2018","","",""
null,"","","",null,"","","","","","",""
null,"","","",null,"","","","","","",""
null,"","","",null,"","","","","","",""
null,"","","",null,"","","","","","",""
null,"","","",null,"","","","","","",""
null,"","","",null,"","","","","","",""
